unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
1657,1657,Cutlet Shop,Quick Bites,3.2,9,2000,No,No,Fast Food,Hsr,HSR
1658,1658,D Fusion,Quick Bites,3.5,9,4000,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Bommanahalli
1659,1659,D View Cafe,"Cafe, Quick Bites",4.0,507,10000,Yes,No,Cafe,Bannerghatta Road,JP Nagar
1660,1660,D2V Cafe,Cafe,3.6,13,7000,No,No,Cafe,Bannerghatta Road,Bannerghatta Road
1661,1661,D'7 Feast Resto Cafe,Casual Dining,4.1,147,6000,No,No,Burger,New Bel Road,New BEL Road
1662,1662,Daafoodies,Quick Bites,3.2,4,4000,No,No,Kerala,Electronic City,Electronic City
1663,1663,Daal Roti,Quick Bites,2.9,35,2500,Yes,No,North Indian,Banashankari,Kumaraswamy Layout
1664,1664,Daawat Restaurant Bar & Pub,"Bar, Casual Dining",3.5,9,7000,Yes,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
1665,1665,Daba Delights,Delivery,3.3,9,4000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
1666,1666,Dabba Gosht,"Takeaway, Delivery",2.8,40,4000,Yes,No,Arabian,Electronic City,Electronic City
1667,1667,Dabba Karkhana,"Takeaway, Delivery",3.5,17,3000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
1668,1668,Dadaba'S,Quick Bites,3.3,6,3000,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Jayanagar
1669,1669,Dadi'S Dum Biryani,Casual Dining,4.0,739,8000,Yes,Yes,Biryani,Bannerghatta Road,Bannerghatta Road
1671,1671,Dad'S Cookhouse,Quick Bites,4.0,44,3000,Yes,No,North Indian,Bellandur,Sarjapur Road
1672,1672,Daily Bite,Quick Bites,3.5,14,2500,No,No,Desserts,Lavelle Road,Richmond Road
1673,1673,Daily Bread,"Bakery, Quick Bites",2.7,29,4000,No,No,Bakery,Old Airport Road,Indiranagar
